artist,song,genre
Usher,DJ Got Us Fallin' In Love (feat. Pitbull),"hip hop, pop, R&B"
Iyaz,Replay,"hip hop, pop"
Flo Rida,Club Can't Handle Me (feat. David Guetta),"hip hop, pop"
Sean Kingston,Eenie Meenie,"hip hop, pop, R&B"
Waka Flocka Flame,No Hands (feat. Roscoe Dash & Wale),"hip hop, pop"
Tinie Tempah,Written in the Stars (feat. Eric Turner),"hip hop, pop, Dance/Electronic"
Bruno Mars,Talking to the Moon,pop
Miley Cyrus,Can't Be Tamed,pop
Mike Posner,Cooler Than Me - Single Mix,"hip hop, pop, Dance/Electronic"
Lady Gaga,Telephone,pop
Yolanda Be Cool,We No Speak Americano (JT Radio Edit),Dance/Electronic
Rihanna,Hard,"hip hop, pop, R&B"
Tinie Tempah,Pass Out,"hip hop, pop, Dance/Electronic"
Adam Lambert,Whataya Want from Me,pop
Trey Songz,Bottoms Up (feat. Nicki Minaj),"hip hop, pop, R&B"
Timbaland,If We Ever Meet Again (Featuring Katy Perry),"hip hop, pop, R&B"
Enrique Iglesias,I Like It,"pop, latin"
Tim Berg,Seek Bromance - Avicii?€?s Vocal Edit,"pop, Dance/Electronic"
Usher,OMG (feat. will.i.am),"hip hop, pop, R&B"
Maroon 5,Misery,pop
Jay Sean,Down,"hip hop, pop, R&B"
Rihanna,Man Down,"hip hop, pop, R&B"
3OH!3,My First Kiss (feat. Ke$ha),"hip hop, pop, rock"
Justin Bieber,Baby,pop
Cali Swag District,Teach Me How to Dougie,"hip hop, pop"
Swedish House Mafia,Miami 2 Ibiza - Swedish House Mafia vs. Tinie Tempah,"pop, Dance/Electronic"
K'NAAN,Wavin' Flag,set()
Ludacris,How Low,"hip hop, pop"
Kesha,Blah Blah Blah (feat. 3OH!3),"pop, Dance/Electronic"
DJ Khaled,"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)","hip hop, pop"
Jason Derulo,In My Head,"hip hop, pop"
Aloe Blacc,I Need A Dollar,R&B
B.o.B,Airplanes (feat. Hayley Williams of Paramore),"hip hop, pop"
Ludacris,My Chick Bad,"hip hop, pop"
Nelly,Just A Dream,"hip hop, pop, R&B"
Rihanna,What's My Name?,"hip hop, pop, R&B"
Shontelle,Impossible,"pop, R&B"
Take That,The Flood,pop
Trey Songz,Say Aah (feat. Fabolous),"hip hop, pop, R&B"
Jason Derulo,Whatcha Say,"hip hop, pop"
Drake,Over,"hip hop, pop, R&B"
Example,Kickstarts,"pop, Dance/Electronic"
Plan B,She Said,Dance/Electronic
The Saturdays,Higher,"pop, Dance/Electronic"
Jay Sean,Do You Remember,"hip hop, pop, R&B"
Usher,Hey Daddy (Daddy's Home),"hip hop, pop, R&B"
Lil Wayne,Right Above It,"hip hop, pop"
The Wanted,All Time Low,"pop, Dance/Electronic"
Kesha,Your Love Is My Drug,"pop, Dance/Electronic"
Ellie Goulding,Starry Eyed,"pop, rock, Dance/Electronic"
Drake,Find Your Love,"hip hop, pop, R&B"
Jason Derulo,Ridin' Solo,"hip hop, pop"
Two Door Cinema Club,What You Know,"World/Traditional, rock, pop"
JAY-Z,Young Forever,hip hop
Young Money,BedRock,"hip hop, pop"
B.o.B,Nothin' on You (feat. Bruno Mars),"hip hop, pop"
Katy Perry,Teenage Dream,pop
Scouting For Girls,This Ain't a Love Song,"pop, rock"
Travie McCoy,Billionaire (feat. Bruno Mars),"hip hop, pop"
Owl City,Fireflies,"rock, pop"
Alicia Keys,Empire State of Mind (Part II) Broken Down,"pop, R&B"
Lady A,Need You Now,"pop, country"
Taylor Swift,Back To December,pop
Neon Trees,Animal,"rock, pop"
Kris Allen,Live Like We're Dying,pop
Matt Cardle,When We Collide,pop
Robyn,Dancing On My Own,"pop, Dance/Electronic"
The Band Perry,If I Die Young,country
B.o.B,Magic (feat. Rivers Cuomo),"hip hop, pop"
Adele,Rolling in the Deep,"pop, R&B"
Maroon 5,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",pop
LMFAO,Party Rock Anthem,"hip hop, pop, Dance/Electronic"
Katy Perry,Firework,pop
Bruno Mars,Grenade,pop
Pitbull,Hey Baby (Drop It to the Floor) (feat. T-Pain),"hip hop, pop, latin"
Alexandra Stan,Mr. Saxobeat,"pop, Dance/Electronic"
David Guetta,Who's That Chick? (feat. Rihanna),"hip hop, pop, Dance/Electronic"
Jennifer Lopez,On The Floor,"hip hop, pop, R&B"
Rihanna,S&M,"hip hop, pop, R&B"
Kesha,Blow,"pop, Dance/Electronic"
Snoop Dogg,Sweat - Remix,"hip hop, pop"
Taio Cruz,Higher,"hip hop, pop"
Usher,More - RedOne Jimmy Joker Remix,"hip hop, pop, R&B"
Example,Changed the Way You Kiss Me - Radio Edit,"pop, Dance/Electronic"
Black Eyed Peas,Just Can?€?t Get Enough,"hip hop, pop"
David Guetta,Where Them Girls At (feat. Nicki Minaj & Flo Rida),"hip hop, pop, Dance/Electronic"
Lykke Li,I Follow Rivers - The Magician Remix,"pop, Dance/Electronic"
Pitbull,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)","hip hop, pop, latin"
Selena Gomez & The Scene,Love You Like A Love Song,"pop, Dance/Electronic"
Wiz Khalifa,Black and Yellow,"hip hop, pop"
Katy Perry,E.T.,pop
Britney Spears,I Wanna Go,pop
Gym Class Heroes,Stereo Hearts (feat. Adam Levine),"hip hop, pop"
Edward Maya,Stereo Love - Radio Edit,pop
Enrique Iglesias,Tonight (I'm Fuckin' You),"pop, latin"
Jeremih,Down On Me,"hip hop, pop, R&B"
Sak Noel,Loca People - Radio Edit,Dance/Electronic
Olly Murs,Heart Skips a Beat (feat. Rizzle Kicks),"pop, Dance/Electronic"
LMFAO,Sexy And I Know It,"hip hop, pop, Dance/Electronic"
Cobra Starship,You Make Me Feel... (feat. Sabi),"pop, Dance/Electronic"
Jessie J,Do It Like A Dude,"hip hop, pop"
DJ Fresh,Louder (feat. Sian Evans) - Radio Edit,"pop, Dance/Electronic"
Waka Flocka Flame,No Hands (feat. Roscoe Dash & Wale),"hip hop, pop"
Nickelback,When We Stand Together,"rock, metal"
M83,Midnight City,"rock, pop, metal, Dance/Electronic"
Britney Spears,Till the World Ends,pop
Labrinth,Earthquake (feat. Tinie Tempah),pop
Jason Derulo,Don't Wanna Go Home,"hip hop, pop"
Coldplay,Paradise,"rock, pop"
Katy Perry,Last Friday Night (T.G.I.F.),pop
Adele,Set Fire to the Rain,"pop, R&B"
Dr. Dre,I Need A Doctor,hip hop
Lil Wayne,6 Foot 7 Foot,"hip hop, pop"
DJ Khaled,I'm On One,"hip hop, pop"
Chris Brown,Look At Me Now (feat. Lil' Wayne & Busta Rhymes),"hip hop, pop, R&B"
Far East Movement,Rocketeer,"hip hop, pop"
The Wanted,Glad You Came,"pop, Dance/Electronic"
Kesha,We R Who We R,"pop, Dance/Electronic"
Kelly Rowland,Motivation,"hip hop, pop, R&B"
Rihanna,We Found Love,"hip hop, pop, R&B"
Nicole Scherzinger,Don't Hold Your Breath,"pop, Dance/Electronic"
Mann,Buzzin Remix,"hip hop, pop"
Chris Brown,Yeah 3x,"hip hop, pop, R&B"
Swedish House Mafia,Save The World,"pop, Dance/Electronic"
Kanye West,All Of The Lights,hip hop
Miguel,Sure Thing,"pop, R&B"
Diddy - Dirty Money,Coming Home,"hip hop, pop, R&B"
Rihanna,What's My Name?,"hip hop, pop, R&B"
Chris Brown,Beautiful People,"hip hop, pop, R&B"
Avril Lavigne,What the Hell,pop
Professor Green,Read All About It,Dance/Electronic
Chase & Status,Blind Faith,Dance/Electronic
Chip,Champion (feat. Chris Brown),"hip hop, Dance/Electronic"
Selena Gomez & The Scene,Who Says,"pop, Dance/Electronic"
Rizzle Kicks,Down With The Trumpets,hip hop
Lady Gaga,Born This Way,pop
Nicki Minaj,Super Bass,"hip hop, pop"
Mac Miller,Donald Trump,hip hop
Calvin Harris,Bounce (feat. Kelis) - Radio Edit,"hip hop, pop, Dance/Electronic"
David Guetta,Without You (feat. Usher),"hip hop, pop, Dance/Electronic"
Foster The People,Pumped Up Kicks,"rock, pop"
Drake,Headlines,"hip hop, pop, R&B"
Jessie J,Price Tag,"hip hop, pop"
Jason Aldean,Dirt Road Anthem,country
Wiz Khalifa,Roll Up,"hip hop, pop"
OneRepublic,Good Life,pop
Bad Meets Evil,Lighters,"hip hop, pop"
Bruno Mars,The Lazy Song,pop
Lupe Fiasco,The Show Goes On,"hip hop, pop"
James Morrison,I Won't Let You Go,"pop, R&B"
Jason Derulo,It Girl,"hip hop, pop"
Adele,Someone Like You,"pop, R&B"
Red Hot Chili Peppers,The Adventures of Rain Dance Maggie,rock
Keri Hilson,Pretty Girl Rock,"pop, R&B"
P!nk,F**kin' Perfect,pop
Blake Shelton,Honey Bee,country
Lady Gaga,The Edge Of Glory,pop
Lady A,Just A Kiss,"pop, country"
Hot Chelle Rae,Tonight Tonight,"hip hop, pop, rock"
Grouplove,Tongue Tied,"pop, rock, Folk/Acoustic"
Coldplay,Every Teardrop Is a Waterfall,"rock, pop"
Beyonc??,Best Thing I Never Had,"pop, R&B"
P!nk,Raise Your Glass,pop
Christina Perri,Jar of Hearts,pop
Bruno Mars,Marry You,pop
The Band Perry,If I Die Young,country
Lil Wayne,How To Love,"hip hop, pop"
Charlene Soraia,Wherever You Will Go,pop
Christina Perri,A Thousand Years,pop
Rihanna,We Found Love,"hip hop, pop, R&B"
Carly Rae Jepsen,Call Me Maybe,"pop, Dance/Electronic"
fun.,We Are Young (feat. Janelle Mon??e),"rock, pop"
Sean Paul,She Doesn't Mind,"hip hop, pop"
Pitbull,International Love (feat. Chris Brown),"hip hop, pop, latin"
DEV,In The Dark,"pop, Dance/Electronic"
Adele,Skyfall,"pop, R&B"
David Guetta,Turn Me On (feat. Nicki Minaj),"hip hop, pop, Dance/Electronic"
Rihanna,Where Have You Been,"hip hop, pop, R&B"
JAY-Z,Ni**as In Paris,hip hop
Maroon 5,One More Night,pop
Skrillex,Bangarang (feat. Sirah),"hip hop, pop, Dance/Electronic"
The Wanted,Chasing The Sun,"pop, Dance/Electronic"
Flo Rida,Whistle,"hip hop, pop"
will.i.am,This Is Love,"hip hop, pop"
David Guetta,She Wolf (Falling to Pieces) [feat. Sia],"hip hop, pop, Dance/Electronic"
Nicki Minaj,Pound The Alarm,"hip hop, pop"
Kendrick Lamar,Swimming Pools (Drank) - Extended Version,hip hop
MARINA,Primadonna,"pop, Dance/Electronic"
Kanye West,Mercy,hip hop
DJ Fresh,Hot Right Now (feat. RITA ORA) - Radio Edit,"pop, Dance/Electronic"
LMFAO,Sexy And I Know It,"hip hop, pop, Dance/Electronic"
PSY,Gangnam Style (???????????€???),pop
Kesha,Die Young,"pop, Dance/Electronic"
Usher,Scream,"hip hop, pop, R&B"
Olly Murs,Troublemaker (feat. Flo Rida),"pop, Dance/Electronic"
Linkin Park,BURN IT DOWN,"rock, metal"
Bruno Mars,Locked out of Heaven,pop
Avicii,Levels - Radio Edit,"pop, Dance/Electronic"
Flo Rida,Good Feeling,"hip hop, pop"
Rihanna,Diamonds,"hip hop, pop, R&B"
Wiz Khalifa,"Work Hard, Play Hard","hip hop, pop"
Katy Perry,Part Of Me,pop
Nicki Minaj,Starships,"hip hop, pop"
Kendrick Lamar,m.A.A.d city,hip hop
Asaf Avidan & the Mojos,One Day / Reckoning Song (Wankelmut Remix) [Radio Edit],pop
Florence + The Machine,Spectrum (Say My Name) - Calvin Harris Remix,"rock, pop, Dance/Electronic"
Azealia Banks,212,"hip hop, pop, R&B"
Maroon 5,Payphone,pop
James Arthur,Impossible,pop
Michel Tel??,Ai Se Eu Te Pego - Live,"country, latin"
Otto Knows,Million Voices - Radio Edit,"pop, Dance/Electronic"
Icona Pop,I Love It,"pop, Dance/Electronic"
Tyga,Rack City,"hip hop, pop"
Calvin Harris,Feel So Close - Radio Edit,"hip hop, pop, Dance/Electronic"
Jennifer Lopez,Dance Again,"hip hop, pop, R&B"
Grimes,Oblivion,"pop, rock, Dance/Electronic"
Adele,Rumour Has It,"pop, R&B"
Coldplay,Paradise,"rock, pop"
Chris Brown,Turn Up the Music,"hip hop, pop, R&B"
Frank Ocean,Lost,"hip hop, pop, R&B"
Calvin Harris,Let's Go (feat. Ne-Yo),"hip hop, pop, Dance/Electronic"
The Script,Hall of Fame (feat. will.i.am),"pop, rock"
Swedish House Mafia,Don't You Worry Child - Radio Edit,"pop, Dance/Electronic"
MARINA,How to Be a Heartbreaker,"pop, Dance/Electronic"
Justin Bieber,Boyfriend,pop
David Guetta,Titanium (feat. Sia),"hip hop, pop, Dance/Electronic"
Jessie J,Domino,"hip hop, pop"
Taylor Swift,I Knew You Were Trouble.,pop
ScHoolboy Q,Hands on the Wheel (feat. Asap Rocky),"hip hop, pop"
P!nk,Try,pop
Robbie Williams,Candy,"pop, rock"
Snoop Dogg,"Young, Wild & Free (feat. Bruno Mars)","hip hop, pop"
Justin Bieber,As Long As You Love Me,pop
Rita Ora,R.I.P. (feat. Tinie Tempah),"hip hop, pop, Dance/Electronic"
Alex Clare,Too Close,rock
Tyga,Faded,"hip hop, pop"
Alesso,Years - ???????????????????????????,"pop, Dance/Electronic"
Guy Sebastian,Battle Scars (feat. Lupe Fiasco),pop
Katy Perry,The One That Got Away,pop
Avicii,Silhouettes - Original Radio Edit,"pop, Dance/Electronic"
Gotye,Somebody That I Used To Know,set()
Flo Rida,Wild Ones (feat. Sia),"hip hop, pop"
One Direction,What Makes You Beautiful,pop
Lana Del Rey,Born To Die,pop
Kesha,C'Mon,"pop, Dance/Electronic"
Owl City,Good Time,"rock, pop"
Calvin Harris,We'll Be Coming Back (feat. Example),"hip hop, pop, Dance/Electronic"
Emeli Sand??,"Read All About It, Pt. III","pop, R&B"
Ellie Goulding,Lights - Single Version,"pop, rock, Dance/Electronic"
Train,Drive By,pop
Disclosure,Latch,"pop, Dance/Electronic"
Coldplay,Princess of China,"rock, pop"
One Direction,Live While We're Young,pop
Gym Class Heroes,Ass Back Home (feat. Neon Hitch),"hip hop, pop"
Carrie Underwood,Blown Away,"pop, country"
alt-J,Breezeblocks,rock
Chris Brown,Don't Wake Me Up,"hip hop, pop, R&B"
Kelly Clarkson,Stronger (What Doesn't Kill You),"pop, R&B"
Drake,The Motto,"hip hop, pop, R&B"
Katy Perry,Wide Awake,pop
Rita Ora,How We Do (Party),"hip hop, pop, Dance/Electronic"
Rudimental,Feel the Love (feat. John Newman),"pop, Dance/Electronic"
Lana Del Rey,Ride,pop
Ne-Yo,Let Me Love You (Until You Learn To Love Yourself),"pop, R&B"
Demi Lovato,Give Your Heart a Break,pop
Drake,Take Care,"hip hop, pop, R&B"
Little Mix,Wings,pop
Bruno Mars,It Will Rain,pop
Cher Lloyd,Want U Back,"pop, Dance/Electronic"
Lorde,Royals,"pop, Dance/Electronic"
Robin Thicke,Blurred Lines,"pop, R&B"
Imagine Dragons,Radioactive,rock
Avicii,Wake Me Up,"pop, Dance/Electronic"
Bruno Mars,Locked out of Heaven,pop
Macklemore & Ryan Lewis,Thrift Shop (feat. Wanz),"hip hop, pop"
Daft Punk,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,"hip hop, Dance/Electronic"
will.i.am,Scream & Shout,"hip hop, pop"
Stromae,Papaoutai,pop
Bingo Players,Get Up (Rattle) - Vocal Edit,"pop, Dance/Electronic"
Naughty Boy,La La La,Dance/Electronic
Tom Odell,Another Love,pop
2 Chainz,We Own It (Fast & Furious),"hip hop, pop"
David Guetta,Play Hard (feat. Ne-Yo & Akon),"hip hop, pop, Dance/Electronic"
Pitbull,Feel This Moment (feat. Christina Aguilera),"hip hop, pop, latin"
will.i.am,#thatPOWER,"hip hop, pop"
Lil Wayne,Love Me,"hip hop, pop"
Macklemore & Ryan Lewis,Can't Hold Us (feat. Ray Dalton),"hip hop, pop"
Martin Garrix,Animals - Radio Edit,"pop, Dance/Electronic"
Jason Derulo,Talk Dirty (feat. 2 Chainz),"hip hop, pop"
John Newman,Love Me Again,set()
Britney Spears,Work B**ch,pop
The Neighbourhood,Sweater Weather,"rock, pop"
Sebastian Ingrosso,Reload - Radio Edit,"pop, Dance/Electronic"
Capital Cities,Safe And Sound,pop
Demi Lovato,Heart Attack,pop
Arctic Monkeys,Why'd You Only Call Me When You're High?,rock
Justin Bieber,Beauty And A Beat,pop
Eminem,The Monster,hip hop
Pitbull,Don't Stop the Party (feat. TJR),"hip hop, pop, latin"
Selena Gomez,Come & Get It,pop
P!nk,True Love (feat. Lily Allen),pop
Disclosure,White Noise,"pop, Dance/Electronic"
Flo Rida,I Cry,"hip hop, pop"
Kanye West,Black Skinhead,hip hop
Lana Del Rey,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,pop
Eminem,Berzerk,hip hop
Icona Pop,I Love It (feat. Charli XCX),"pop, Dance/Electronic"
Fall Out Boy,My Songs Know What You Did In The Dark (Light Em Up),rock
Lorde,Team,"pop, Dance/Electronic"
Avicii,I Could Be The One (Avicii Vs. Nicky Romero) - Radio Edit,"pop, Dance/Electronic"
Imagine Dragons,Demons,rock
One Direction,One Way or Another (Teenage Kicks),pop
Taylor Swift,I Knew You Were Trouble.,pop
Arctic Monkeys,Do I Wanna Know?,rock
Rudimental,Waiting All Night (feat. Ella Eyre),"pop, Dance/Electronic"
Klangkarussell,Sonnentanz - Sun Don't Shine,"pop, Dance/Electronic"
Calvin Harris,Drinking from the Bottle (feat. Tinie Tempah),"hip hop, pop, Dance/Electronic"
A$AP Rocky,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",hip hop
P!nk,Try,pop
Ylvis,The Fox (What Does the Fox Say?),hip hop
Ellie Goulding,Burn,"pop, rock, Dance/Electronic"
Baauer,Harlem Shake,Dance/Electronic
Calvin Harris,I Need Your Love (feat. Ellie Goulding),"hip hop, pop, Dance/Electronic"
Katy Perry,This Is How We Do,pop
AWOLNATION,Sail,"pop, rock"
Duke Dumont,Need U (100%) [feat. A*M*E] - Radio Edit,"pop, Dance/Electronic"
Jason Derulo,The Other Side,"hip hop, pop"
Storm Queen,Look Right Through - MK Vocal Edit,Dance/Electronic
Calvin Harris,Sweet Nothing (feat. Florence Welch),"hip hop, pop, Dance/Electronic"
Katy Perry,Unconditionally,pop
Wale,Bad (feat. Rihanna) - Remix,"hip hop, pop, R&B"
Ciara,Body Party,"pop, R&B"
Drake,Started From the Bottom,"hip hop, pop, R&B"
Birdy,Wings,pop
Bastille,Of The Night,"pop, rock"
Olly Murs,Dear Darlin',"pop, Dance/Electronic"
Katy Perry,Roar,pop
Blake Shelton,Sure Be Cool If You Did,country
Calvin Harris,Thinking About You (feat. Ayah Marar),"hip hop, pop, Dance/Electronic"
JAY-Z,Holy Grail,hip hop
Bridgit Mendler,Ready or Not,pop
The Saturdays,What About Us,"pop, Dance/Electronic"
Bastille,Pompeii,"pop, rock"
One Direction,Best Song Ever,pop
Nelly,Hey Porsche,"hip hop, pop, R&B"
Zedd,Clarity,"hip hop, pop, Dance/Electronic"
Miley Cyrus,Wrecking Ball,pop
Chris Brown,Fine China,"hip hop, pop, R&B"
Daft Punk,Lose Yourself to Dance (feat. Pharrell Williams),"hip hop, Dance/Electronic"
Armin van Buuren,This Is What It Feels Like,"pop, Dance/Electronic"
Justin Timberlake,Mirrors,pop
Bruno Mars,Treasure,pop
Of Monsters and Men,Little Talks,"pop, rock, Folk/Acoustic"
Miley Cyrus,We Can't Stop,pop
J. Cole,Power Trip (feat. Miguel),hip hop
Paramore,Still into You,"pop, rock"
Christina Perri,human,pop
Drake,"Hold On, We're Going Home","hip hop, pop, R&B"
James Blunt,Bonfire Heart,pop
Maroon 5,Daylight,pop
Childish Gambino,3005,hip hop
Avril Lavigne,Here's to Never Growing Up,pop
Taylor Swift,22,pop
Passenger,Let Her Go,pop
Ariana Grande,The Way,pop
Rihanna,Stay,"hip hop, pop, R&B"
Justin Timberlake,Suit & Tie (feat. Jay-Z),pop
Bruno Mars,When I Was Your Man,pop
Florida Georgia Line,Cruise,country
Pharrell Williams,"Happy - From ""Despicable Me 2""","hip hop, pop"
Katy Perry,Dark Horse,pop
ScHoolboy Q,Collard Greens,"hip hop, pop"
Iggy Azalea,Fancy,"hip hop, pop"
Maroon 5,Animals,pop
Sam Smith,Stay With Me,pop
MAGIC!,Rude,set()
Sia,Chandelier,pop
John Legend,All of Me,"pop, R&B"
ZHU,Faded,Dance/Electronic
Meghan Trainor,All About That Bass,pop
David Guetta,Lovers on the Sun (feat. Sam Martin),"hip hop, pop, Dance/Electronic"
Iggy Azalea,Black Widow,"hip hop, pop"
Tove Lo,Habits (Stay High),"pop, Dance/Electronic"
Oliver Heldens,Gecko (Overdrive) - Radio Edit,"pop, Dance/Electronic"
DJ Snake,You Know You Like It,"hip hop, pop, Dance/Electronic"
Jason Derulo,Talk Dirty (feat. 2 Chainz),"hip hop, pop"
Maroon 5,Maps,pop
David Guetta,Bad (feat. Vassy) - Radio Edit,"hip hop, pop, Dance/Electronic"
Tinashe,2 On (feat. ScHoolboy Q),"hip hop, pop, R&B, Dance/Electronic"
Route 94,My Love (feat. Jess Glynne),"pop, Dance/Electronic"
Taylor Swift,Bad Blood,pop
Trey Songz,Na Na,"hip hop, pop, R&B"
Calvin Harris,Under Control (feat. Hurts),"hip hop, pop, Dance/Electronic"
O.T. Genasis,CoCo,"hip hop, pop"
Jason Derulo,Wiggle (feat. Snoop Dogg),"hip hop, pop"
Lilly Wood and The Prick,Prayer in C - Robin Schulz Radio Edit,"pop, rock"
Jeremih,Don't Tell 'Em,"hip hop, pop, R&B"
Nicki Minaj,Anaconda,"hip hop, pop"
Calvin Harris,Blame (feat. John Newman),"hip hop, pop, Dance/Electronic"
DJ Snake,Turn Down for What,"hip hop, pop, Dance/Electronic"
Pitbull,Timber (feat. Ke$ha),"hip hop, pop, latin"
OneRepublic,Counting Stars,pop
Bobby Shmurda,Hot N*gga,"hip hop, pop"
Calvin Harris,Summer,"hip hop, pop, Dance/Electronic"
ScHoolboy Q,Man Of The Year,"hip hop, pop"
Nico & Vinz,Am I Wrong,"hip hop, pop"
Becky G,Shower,"pop, latin"
Sigma,Nobody To Love - Radio Edit,"pop, Dance/Electronic"
The Chainsmokers,#SELFIE - Original Mix,"pop, Dance/Electronic"
Lorde,Team,"pop, Dance/Electronic"
Rixton,Me And My Broken Heart,pop
Klingande,Jubel - Radio Edit,"pop, Dance/Electronic"
Mr. Probz,Waves - Robin Schulz Radio Edit,"hip hop, Dance/Electronic"
Paloma Faith,Only Love Can Hurt Like This,"pop, R&B, Dance/Electronic"
Kiesza,Hideaway,"pop, Dance/Electronic"
Ellie Goulding,Burn,"pop, rock, Dance/Electronic"
Ariana Grande,Break Free,pop
Kid Ink,Show Me (feat. Chris Brown),"hip hop, pop"
Tove Lo,Talking Body,"pop, Dance/Electronic"
Chris Brown,Loyal (feat. Lil Wayne & Tyga),"hip hop, pop, R&B"
OneRepublic,Love Runs Out,pop
Olly Murs,Up (feat. Demi Lovato),"pop, Dance/Electronic"
Peking Duk,High (feat. Nicole Millar),Dance/Electronic
Milky Chance,Stolen Dance,set()
Ed Sheeran,Don't,pop
Ariana Grande,Love Me Harder,pop
Enrique Iglesias,Bailando - Spanish Version,"pop, latin"
Avicii,Hey Brother,"pop, Dance/Electronic"
Jessie J,Bang Bang,"hip hop, pop"
Duke Dumont,I Got U,"pop, Dance/Electronic"
Gorgon City,Ready For Your Love,"pop, Dance/Electronic"
Taylor Swift,Style,pop
MKTO,Classic,"hip hop, pop"
Disclosure,Latch,"pop, Dance/Electronic"
Ariana Grande,Problem,pop
Charli XCX,Boom Clap,"pop, Dance/Electronic"
One Direction,Steal My Girl,pop
Ti??sto,Red Lights,"pop, Dance/Electronic"
Selena Gomez,The Heart Wants What It Wants,pop
Rita Ora,I Will Never Let You Down,"hip hop, pop, Dance/Electronic"
5 Seconds of Summer,She Looks So Perfect,pop
The Script,Superheroes,"pop, rock"
Taylor Swift,Shake It Off,pop
One Direction,Night Changes,pop
Ed Sheeran,Sing,pop
Alesso,Heroes (we could be),"pop, Dance/Electronic"
Ti??sto,Wasted,"pop, Dance/Electronic"
G.R.L.,Ugly Heart,pop
Coldplay,A Sky Full of Stars,"rock, pop"
Clean Bandit,Rather Be (feat. Jess Glynne),"pop, Dance/Electronic"
Zedd,Stay The Night - Featuring Hayley Williams Of Paramore,"hip hop, pop, Dance/Electronic"
Sia,Elastic Heart,pop
One Direction,Story of My Life,pop
Alex & Sierra,Little Do You Know,pop
Omarion,Post to Be (feat. Chris Brown & Jhene Aiko),"hip hop, pop, R&B"
Echosmith,Cool Kids,pop
Natalie La Rose,Somebody,set()
Vance Joy,Riptide,"rock, pop"
Beyonc??,Drunk in Love (feat. Jay-Z),"pop, R&B"
Maroon 5,Sugar,pop
Ella Henderson,Ghost,"pop, Dance/Electronic"
Ed Sheeran,"I See Fire - From ""The Hobbit - The Desolation Of Smaug""",pop
Chris Brown,New Flame (feat. Usher & Rick Ross),"hip hop, pop, R&B"
Sheppard,Geronimo,"pop, rock, Dance/Electronic"
Olly Murs,Wrapped Up (feat. Travie McCoy),"pop, Dance/Electronic"
Sam Smith,Money On My Mind,pop
Jason Derulo,Trumpets,"hip hop, pop"
Nicki Minaj,Bed Of Lies,"hip hop, pop"
Nick Jonas,Jealous - Remix,pop
Mark Ronson,Uptown Funk (feat. Bruno Mars),pop
Ed Sheeran,Thinking out Loud,pop
Wiz Khalifa,See You Again (feat. Charlie Puth),"hip hop, pop"
Justin Bieber,What Do You Mean?,pop
Major Lazer,Lean On (feat. M?? & DJ Snake),"hip hop, pop, Dance/Electronic"
The Weeknd,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack","pop, R&B"
